ID_CLIENTE,IDADE,RENDA_MENSAL,SCORE_CREDITO,TEMPO_RESIDENCIA,DIVIDA_ATUAL,HISTORICO_INADIMPLENCIA,EMPREGO,ESTADO_CIVIL,TEMPO_EMPREGO,VALOR_SOLICITADO,APROVADO
1,56,1000.0,482,31,657.72,NÃO,CLT,CASADO,17,135748.0,REPROVADO
2,69,1000.0,664,24,92.27,NÃO,CLT,SOLTEIRO,9,230334.0,APROVADO
3,46,20000.0,651,27,1621.1,NÃO,AUTÔNOMO,CASADO,3,132960.0,REPROVADO
4,32,1000.0,562,20,656.7,SIM,CLT,CASADO,6,257048.0,REPROVADO
5,60,1000.0,351,7,1719.84,NÃO,CLT,CASADO,35,156099.0,APROVADO
6,25,20000.0,831,35,1740.66,NÃO,CLT,SOLTEIRO,21,290416.0,APROVADO
7,78,16356.59,233,8,381.46,SIM,CLT,CASADO,11,227426.0,APROVADO
8,38,1000.0,272,39,4.36,NÃO,CLT,DIVORCIADO,23,213086.0,REPROVADO
9,56,5292.32,825,20,2421.88,SIM,CLT,SOLTEIRO,36,73201.0,APROVADO
10,75,1165.22,728,0,1430.02,NÃO,DESEMPREGADO,SOLTEIRO,7,238816.0,REPROVADO
11,36,20000.0,708,3,113.45,NÃO,CLT,CASADO,19,61570.0,REPROVADO
12,40,1000.0,600,9,1209.75,NÃO,CLT,CASADO,17,144829.0,REPROVADO
13,28,1000.0,530,25,20.23,NÃO,CLT,CASADO,24,138043.0,APROVADO
14,28,1000.0,900,39,28.15,NÃO,AUTÔNOMO,DIVORCIADO,22,51521.0,REPROVADO
15,41,20000.0,813,2,746.18,NÃO,CLT,SOLTEIRO,37,181310.0,REPROVADO
16,70,1000.0,278,8,100.97,NÃO,CLT,CASADO,17,220918.0,REPROVADO
17,53,15404.9,829,31,3333.63,SIM,CLT,SOLTEIRO,10,232640.0,REPROVADO
18,57,3435.34,419,2,2242.73,SIM,CLT,SOLTEIRO,38,15769.0,APROVADO
19,41,1000.0,207,3,1049.29,NÃO,DESEMPREGADO,SOLTEIRO,13,186875.0,REPROVADO
20,20,1000.0,990,5,65.83,NÃO,CLT,CASADO,21,178448.0,REPROVADO
21,39,20000.0,862,8,392.8,NÃO,CLT,CASADO,37,299487.0,REPROVADO
22,70,1000.0,470,25,464.77,NÃO,CLT,SOLTEIRO,14,207848.0,REPROVADO
23,19,1000.0,611,1,655.62,SIM,AUTÔNOMO,CASADO,4,258674.0,REPROVADO
24,41,20000.0,867,1,185.01,NÃO,CLT,CASADO,4,241138.0,APROVADO
25,61,1000.0,961,20,861.59,NÃO,CLT,SOLTEIRO,18,51451.0,REPROVADO
26,47,20000.0,891,21,572.29,NÃO,CLT,SOLTEIRO,33,154965.0,REPROVADO
27,55,19845.89,527,2,2943.08,NÃO,CLT,SOLTEIRO,15,213904.0,REPROVADO
28,19,7436.19,455,34,2751.93,SIM,CLT,CASADO,20,276969.0,REPROVADO
29,77,1000.0,992,37,833.5,NÃO,CLT,CASADO,31,55561.0,APROVADO
30,38,1000.0,544,32,1033.81,NÃO,CLT,CASADO,18,282429.0,REPROVADO
31,50,16141.62,549,14,148.26,NÃO,CLT,SOLTEIRO,23,37303.0,APROVADO
32,29,20000.0,980,10,252.73,NÃO,AUTÔNOMO,DIVORCIADO,34,17396.0,REPROVADO
33,75,4918.0,406,9,2309.76,NÃO,CLT,CASADO,17,253185.0,REPROVADO
34,39,1000.0,510,35,1201.2,SIM,DESEMPREGADO,CASADO,13,133574.0,REPROVADO
35,78,11150.79,908,13,210.02,NÃO,CLT,SOLTEIRO,21,100995.0,APROVADO
36,61,19206.12,854,1,844.46,NÃO,CLT,CASADO,38,169844.0,APROVADO
37,42,1000.0,882,36,2729.7,NÃO,CLT,CASADO,29,278088.0,APROVADO
38,66,1000.0,401,28,423.38,NÃO,CLT,CASADO,11,103671.0,REPROVADO
39,44,1000.0,974,34,205.57,SIM,CLT,CASADO,11,59792.0,REPROVADO
40,76,1000.0,392,19,2847.75,NÃO,CLT,SOLTEIRO,29,111105.0,REPROVADO
41,80,1000.0,906,20,618.53,NÃO,AUTÔNOMO,SOLTEIRO,2,213242.0,APROVADO
42,59,1000.0,342,33,539.98,NÃO,CLT,DIVORCIADO,39,97323.0,APROVADO
43,45,1000.0,871,32,311.38,NÃO,CLT,SOLTEIRO,31,5374.0,APROVADO
